# x_m,y_m,w_tr_right_m,w_tr_left_m
-5.0971,0.7719,0.4337,0.4337
-5.0771,0.6919,0.4337,0.4337
-5.0571,0.6119,0.4385,0.4385
-5.0371,0.5319,0.4463,0.4463
-4.9971,0.4519,0.4459,0.4459
-4.9771,0.3719,0.4660,0.4660
-4.9171,0.2919,0.4660,0.4660
-4.8571,0.2319,0.4657,0.4657
-4.7771,0.1519,0.4604,0.4604
-4.6971,0.0919,0.4561,0.4561
-4.6171,0.0519,0.4492,0.4492
-4.5371,-0.0081,0.4636,0.4636
-4.4571,-0.0481,0.4636,0.4636
-4.3771,-0.1081,0.4814,0.4814
-4.2971,-0.1481,0.4814,0.4814
-4.2171,-0.1881,0.4814,0.4814
-4.1371,-0.2481,0.4993,0.4993
-4.0571,-0.2881,0.5073,0.5073
