# x_m,y_m,w_tr_right_m,w_tr_left_m
4.8520,-0.6278,0.5412,0.5412
4.8520,-0.5878,0.5325,0.5325
4.8920,-0.5478,0.5597,0.5597
4.8920,-0.5078,0.5512,0.5512
4.8920,-0.4678,0.5450,0.5450
4.8920,-0.4278,0.5412,0.5412
4.8920,-0.3878,0.5400,0.5400
4.9320,-0.3478,0.5512,0.5512
4.9320,-0.3078,0.5597,0.5597
4.9320,-0.2678,0.5597,0.5597
4.9320,-0.2278,0.5512,0.5512
4.9320,-0.1878,0.5450,0.5450
4.9720,-0.1478,0.5450,0.5450
4.9720,-0.1078,0.5512,0.5512
4.9720,-0.0678,0.5597,0.5597
4.9720,-0.0278,0.5512,0.5512
5.0120,0.0122,0.5400,0.5400
5.0120,0.0522,0.5412,0.5412
5.0120,0.0922,0.5450,0.5450
5.0120,0.1322,0.5512,0.5512
5.0520,0.1722,0.5210,0.5210
5.0520,0.2122,0.5325,0.5325
5.0520,0.2522,0.5400,0.5400
5.0520,0.2922,0.5325,0.5325
5.0520,0.3322,0.5210,0.5210
5.0520,0.3722,0.5093,0.5093
5.0520,0.4122,0.4946,0.4946
5.0920,0.4522,0.5210,0.5210
5.0920,0.4922,0.5119,0.5119
5.0920,0.5322,0.5053,0.5053
5.0920,0.5722,0.5013,0.5013
5.0920,0.6122,0.5000,0.5000
5.0920,0.6522,0.5000,0.5000
5.0920,0.6922,0.5000,0.5000
5.0920,0.7322,0.5000,0.5000
5.0920,0.7722,0.5000,0.5000
5.0920,0.8122,0.5000,0.5000
5.0920,0.8522,0.5013,0.5013
5.0920,0.8922,0.5053,0.5053
5.0920,0.9322,0.5119,0.5119
5.0920,0.9722,0.5210,0.5210
5.1320,1.0122,0.5597,0.5597
5.1320,1.0522,0.5705,0.5705
5.1320,1.0922,0.5835,0.5835
5.1320,1.1322,0.5905,0.5905
5.1320,1.1722,0.5986,0.5986
5.1320,1.2122,0.6088,0.6088
5.1320,1.2522,0.6200,0.6200
5.1320,1.2922,0.6211,0.6211
5.1320,1.3322,0.6244,0.6244
5.1320,1.3722,0.6299,0.6299
5.1320,1.4122,0.6376,0.6376
5.0920,1.4522,0.6600,0.6600
5.0520,1.4922,0.6200,0.6200
5.0120,1.5322,0.5800,0.5800
4.9720,1.5722,0.5400,0.5400
4.9320,1.5722,0.5400,0.5400
4.8920,1.6122,0.5013,0.5013
4.8520,1.6122,0.5053,0.5053
4.8120,1.6122,0.5119,0.5119
4.7720,1.6522,0.4824,0.4824
4.7320,1.6522,0.4946,0.4946
4.6920,1.6522,0.5000,0.5000
4.6520,1.6522,0.5000,0.5000
4.6120,1.6922,0.4600,0.4600
4.5720,1.6922,0.4614,0.4614
4.5320,1.7322,0.4261,0.4261
4.4920,1.7322,0.4337,0.4337
4.4520,1.7322,0.4441,0.4441
4.4120,1.7322,0.4571,0.4571
4.3720,1.7322,0.4571,0.4571
4.3320,1.7322,0.4441,0.4441
4.2920,1.7322,0.4337,0.4337
4.2520,1.7722,0.4261,0.4261
4.2120,1.7722,0.4337,0.4337
4.1720,1.7722,0.4337,0.4337
4.1320,1.7722,0.4261,0.4261
4.0920,1.7722,0.4215,0.4215
4.0520,1.7722,0.4200,0.4200
4.0120,1.8122,0.4261,0.4261
3.9720,1.8122,0.4337,0.4337
3.9320,1.8122,0.4261,0.4261
3.8920,1.8122,0.4200,0.4200
3.8520,1.8122,0.4060,0.4060
3.8120,1.8122,0.3948,0.3948
3.7720,1.8122,0.3866,0.3866
3.7320,1.8522,0.4215,0.4215
3.6920,1.8522,0.4200,0.4200
3.6520,1.8522,0.4200,0.4200
3.6120,1.8522,0.4200,0.4200
3.5720,1.8522,0.4200,0.4200
3.5320,1.8522,0.4200,0.4200
3.4920,1.8522,0.4200,0.4200
3.4520,1.8522,0.4200,0.4200
3.4120,1.8522,0.4200,0.4200
3.3720,1.8522,0.4200,0.4200
3.3320,1.8522,0.4215,0.4215
3.2920,1.8522,0.4261,0.4261
3.2520,1.8922,0.4727,0.4727
3.2120,1.8922,0.4824,0.4824
3.1720,1.8922,0.4946,0.4946
3.1320,1.8922,0.5053,0.5053
3.0920,1.8922,0.5119,0.5119
3.0520,1.8922,0.5210,0.5210
3.0120,1.8922,0.5325,0.5325
2.9720,1.8922,0.5400,0.5400
2.9320,1.8922,0.5412,0.5412
2.8920,1.8922,0.5450,0.5450
2.8520,1.8922,0.5512,0.5512
2.8120,1.8522,0.5986,0.5986
2.7720,1.8522,0.5986,0.5986
2.7320,1.8122,0.5705,0.5705
2.6920,1.7722,0.5400,0.5400
2.6520,1.7322,0.5000,0.5000
2.6520,1.6922,0.5000,0.5000
2.6520,1.6522,0.5013,0.5013
2.6120,1.6122,0.4657,0.4657
2.5720,1.5722,0.4337,0.4337
2.5720,1.5322,0.4441,0.4441
2.5720,1.4922,0.4571,0.4571
2.5720,1.4522,0.4600,0.4600
2.5720,1.4122,0.4600,0.4600
2.5320,1.3722,0.4200,0.4200
2.5320,1.3322,0.4215,0.4215
2.4920,1.2922,0.3866,0.3866
2.4920,1.2522,0.3948,0.3948
2.4920,1.2122,0.4060,0.4060
2.4920,1.1722,0.4200,0.4200
2.4920,1.1322,0.4215,0.4215
2.4920,1.0922,0.4261,0.4261
2.4920,1.0522,0.4261,0.4261
2.4520,1.0122,0.4060,0.4060
2.4520,0.9722,0.4200,0.4200
2.4520,0.9322,0.4367,0.4367
2.4520,0.8922,0.4441,0.4441
2.4520,0.8522,0.4337,0.4337
2.4520,0.8122,0.4261,0.4261
2.4120,0.7722,0.4614,0.4614
2.4120,0.7322,0.4600,0.4600
2.4120,0.6922,0.4600,0.4600
2.4120,0.6522,0.4571,0.4571
2.3720,0.6122,0.4824,0.4824
2.3320,0.5722,0.5119,0.5119
2.3320,0.5322,0.5053,0.5053
2.3320,0.4922,0.5013,0.5013
2.2920,0.4522,0.5400,0.5400
2.2520,0.4122,0.5705,0.5705
2.2520,0.3722,0.5597,0.5597
2.2120,0.3322,0.5905,0.5905
2.1720,0.2922,0.5800,0.5800
2.1320,0.2922,0.5800,0.5800
2.0920,0.2522,0.5325,0.5325
2.0520,0.2522,0.5210,0.5210
2.0120,0.2522,0.5119,0.5119
1.9720,0.2522,0.5053,0.5053
1.9320,0.2522,0.5013,0.5013
1.8920,0.2522,0.5000,0.5000
1.8520,0.2522,0.5000,0.5000
1.8120,0.2522,0.5000,0.5000
1.7720,0.2522,0.5000,0.5000
1.7320,0.2522,0.5000,0.5000
1.6920,0.2522,0.5000,0.5000
1.6520,0.2522,0.5013,0.5013
1.6120,0.2522,0.5000,0.5000
1.5720,0.2522,0.5013,0.5013
1.5320,0.2522,0.5013,0.5013
