# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.1318,0.2661,0.6400,0.6400
-1.1118,0.2461,0.6529,0.6529
-1.0918,0.2461,0.6473,0.6473
-1.0718,0.2461,0.6422,0.6422
-1.0518,0.2461,0.6376,0.6376
-1.0318,0.2461,0.6335,0.6335
-1.0118,0.2261,0.6473,0.6473
-0.9918,0.2261,0.6422,0.6422
-0.9718,0.2261,0.6376,0.6376
-0.9518,0.2261,0.6335,0.6335
-0.9318,0.2261,0.6299,0.6299
-0.9118,0.2061,0.6467,0.6467
-0.8918,0.2061,0.6443,0.6443
-0.8718,0.2061,0.6424,0.6424
-0.8518,0.2061,0.6411,0.6411
-0.8318,0.2061,0.6403,0.6403
-0.8118,0.2061,0.6400,0.6400
-0.7918,0.1861,0.6600,0.6600
-0.7718,0.2061,0.6400,0.6400
-0.7518,0.2061,0.6400,0.6400
-0.7318,0.2061,0.6400,0.6400
-0.7118,0.2061,0.6400,0.6400
-0.6918,0.2061,0.6400,0.6400
-0.6718,0.2061,0.6400,0.6400
-0.6518,0.2061,0.6400,0.6400
-0.6318,0.2061,0.6400,0.6400
-0.6118,0.2061,0.6403,0.6403
-0.5918,0.2061,0.6411,0.6411
-0.5718,0.2061,0.6424,0.6424
-0.5518,0.2061,0.6443,0.6443
-0.5318,0.2061,0.6467,0.6467
-0.5118,0.2061,0.6497,0.6497
-0.4918,0.2061,0.6531,0.6531
-0.4718,0.2061,0.6571,0.6571
-0.4518,0.2061,0.6616,0.6616
-0.4318,0.2261,0.6473,0.6473
-0.4118,0.2261,0.6529,0.6529
-0.3918,0.2261,0.6571,0.6571
-0.3718,0.2261,0.6616,0.6616
-0.3518,0.2261,0.6666,0.6666
-0.3318,0.2261,0.6720,0.6720
-0.3118,0.2261,0.6767,0.6767
-0.2918,0.2261,0.6810,0.6810
-0.2718,0.2261,0.6810,0.6810
-0.2518,0.2261,0.6767,0.6767
-0.2318,0.2261,0.6728,0.6728
-0.2118,0.2261,0.6694,0.6694
-0.1918,0.2261,0.6666,0.6666
-0.1718,0.2261,0.6642,0.6642
-0.1518,0.2261,0.6624,0.6624
-0.1318,0.2261,0.6611,0.6611
-0.1118,0.2261,0.6603,0.6603
-0.0918,0.2261,0.6571,0.6571
-0.0718,0.2261,0.6531,0.6531
-0.0518,0.2261,0.6497,0.6497
-0.0318,0.2261,0.6467,0.6467
-0.0118,0.2261,0.6443,0.6443
0.0082,0.2261,0.6424,0.6424
0.0282,0.2261,0.6411,0.6411
0.0482,0.2261,0.6403,0.6403
0.0682,0.2261,0.6376,0.6376
0.0882,0.2261,0.6335,0.6335
0.1082,0.2261,0.6299,0.6299
0.1282,0.2261,0.6269,0.6269
0.1482,0.2061,0.6046,0.6046
0.1682,0.2061,0.6026,0.6026
0.1882,0.2061,0.6011,0.6011
0.2082,0.2061,0.6003,0.6003
0.2282,0.2061,0.6000,0.6000
0.2482,0.2061,0.6000,0.6000
0.2682,0.1861,0.5800,0.5800
0.2882,0.1861,0.5800,0.5800
0.3082,0.1861,0.5800,0.5800
0.3282,0.1661,0.5600,0.5600
0.3482,0.1661,0.5600,0.5600
0.3682,0.1461,0.5400,0.5400
0.3882,0.1461,0.5400,0.5400
0.4082,0.1461,0.5400,0.5400
0.4282,0.1261,0.5200,0.5200
0.4482,0.1261,0.5200,0.5200
0.4682,0.1261,0.5200,0.5200
0.4882,0.1061,0.5000,0.5000
0.5082,0.1061,0.5000,0.5000
0.5282,0.1061,0.5000,0.5000
0.5482,0.0861,0.4800,0.4800
0.5682,0.0861,0.4800,0.4800
0.5882,0.0861,0.4800,0.4800
0.6082,0.0861,0.4800,0.4800
0.6282,0.0861,0.4800,0.4800
0.6482,0.0861,0.4800,0.4800
0.6682,0.0861,0.4800,0.4800
0.6882,0.0661,0.4600,0.4600
0.7082,0.0661,0.4579,0.4579
0.7282,0.0661,0.4532,0.4532
0.7482,0.0661,0.4492,0.4492
0.7682,0.0461,0.4261,0.4261
0.7882,0.0461,0.4235,0.4235
0.8082,0.0461,0.4215,0.4215
0.8282,0.0461,0.4204,0.4204
0.8482,0.0261,0.4000,0.4000
0.8682,0.0261,0.4000,0.4000
0.8882,0.0261,0.4000,0.4000
0.9082,0.0261,0.4000,0.4000
0.9282,0.0061,0.3800,0.3800
0.9482,0.0061,0.3800,0.3800
0.9682,0.0061,0.3800,0.3800
0.9882,-0.0139,0.3600,0.3600
1.0082,-0.0139,0.3561,0.3561
1.0282,-0.0139,0.3512,0.3512
1.0482,-0.0339,0.3276,0.3276
1.0682,-0.0339,0.3243,0.3243
1.0882,-0.0339,0.3219,0.3219
1.1082,-0.0339,0.3205,0.3205
1.1282,-0.0539,0.3000,0.3000
1.1482,-0.0539,0.3000,0.3000
1.1682,-0.0539,0.3000,0.3000
1.1882,-0.0539,0.3000,0.3000
1.2082,-0.0739,0.2800,0.2800
1.2282,-0.0739,0.2800,0.2800
1.2482,-0.0739,0.2800,0.2800
1.2682,-0.0739,0.2800,0.2800
1.2882,-0.0739,0.2800,0.2800
1.3082,-0.0739,0.2800,0.2800
1.3282,-0.0739,0.2800,0.2800
1.3482,-0.0739,0.2800,0.2800
1.3682,-0.0739,0.2800,0.2800
1.3882,-0.0739,0.2800,0.2800
1.4082,-0.0739,0.2800,0.2800
1.4282,-0.0739,0.2800,0.2800
1.4482,-0.0739,0.2800,0.2800
1.4682,-0.0739,0.2800,0.2800
1.4882,-0.0739,0.2800,0.2800
1.5082,-0.0739,0.2800,0.2800
1.5282,-0.0739,0.2800,0.2800
1.5482,-0.0739,0.2800,0.2800
1.5682,-0.0739,0.2800,0.2800
1.5882,-0.0739,0.2800,0.2800
1.6082,-0.0739,0.2800,0.2800
1.6282,-0.0739,0.2800,0.2800
1.6482,-0.0739,0.2800,0.2800
1.6682,-0.0739,0.2800,0.2800
1.6882,-0.0739,0.2800,0.2800
1.7082,-0.0739,0.2800,0.2800
1.7282,-0.0739,0.2800,0.2800
1.7482,-0.0739,0.2800,0.2800
1.7682,-0.0739,0.2800,0.2800
1.7882,-0.0739,0.2800,0.2800
1.8082,-0.0739,0.2800,0.2800
1.8282,-0.0739,0.2800,0.2800
1.8482,-0.0739,0.2800,0.2800
1.8682,-0.0739,0.2800,0.2800
1.8882,-0.0739,0.2800,0.2800
1.9082,-0.0739,0.2800,0.2800
1.9282,-0.0739,0.2800,0.2800
1.9482,-0.0739,0.2800,0.2800
1.9682,-0.0739,0.2800,0.2800
1.9882,-0.0739,0.2800,0.2800
2.0082,-0.0739,0.2800,0.2800
2.0282,-0.0739,0.2800,0.2800
2.0482,-0.0739,0.2800,0.2800
2.0682,-0.0739,0.2800,0.2800
2.0882,-0.0739,0.2800,0.2800
2.1082,-0.0739,0.2800,0.2800
2.1282,-0.0739,0.2800,0.2800
2.1482,-0.0739,0.2800,0.2800
2.1682,-0.0739,0.2800,0.2800
2.1882,-0.0739,0.2800,0.2800
2.2082,-0.0739,0.2800,0.2800
2.2282,-0.0739,0.2800,0.2800
2.2482,-0.0739,0.2800,0.2800
2.2682,-0.0539,0.3000,0.3000
2.2882,-0.0539,0.3000,0.3000
2.3082,-0.0539,0.3000,0.3000
2.3282,-0.0539,0.3000,0.3000
2.3482,-0.0539,0.3000,0.3000
2.3682,-0.0539,0.3000,0.3000
2.3882,-0.0539,0.3000,0.3000
2.4082,-0.0339,0.3200,0.3200
2.4282,-0.0339,0.3200,0.3200
2.4482,-0.0339,0.3200,0.3200
2.4682,-0.0339,0.3200,0.3200
2.4882,-0.0339,0.3200,0.3200
2.5082,-0.0339,0.3200,0.3200
2.5282,-0.0339,0.3200,0.3200
2.5482,-0.0339,0.3200,0.3200
2.5682,-0.0139,0.3400,0.3400
2.5882,-0.0139,0.3400,0.3400
2.6082,-0.0139,0.3400,0.3400
2.6282,-0.0139,0.3400,0.3400
2.6482,-0.0139,0.3400,0.3400
2.6682,-0.0139,0.3400,0.3400
2.6882,-0.0139,0.3400,0.3400
2.7082,0.0061,0.3600,0.3600
2.7282,0.0061,0.3600,0.3600
2.7482,0.0061,0.3600,0.3600
2.7682,0.0061,0.3600,0.3600
2.7882,0.0061,0.3600,0.3600
2.8082,0.0061,0.3600,0.3600
2.8282,0.0261,0.3804,0.3804
2.8482,0.0261,0.3817,0.3817
2.8682,0.0261,0.3837,0.3837
2.8882,0.0461,0.4064,0.4064
2.9082,0.0461,0.4099,0.4099
2.9282,0.0461,0.4142,0.4142
2.9482,0.0661,0.4385,0.4385
2.9682,0.0661,0.4400,0.4400
2.9882,0.0661,0.4400,0.4400
3.0082,0.0661,0.4400,0.4400
3.0282,0.0861,0.4571,0.4571
3.0482,0.0861,0.4503,0.4503
3.0682,0.0861,0.4441,0.4441
3.0882,0.0861,0.4385,0.4385
3.1082,0.1061,0.4503,0.4503
3.1282,0.1061,0.4441,0.4441
3.1482,0.1261,0.4571,0.4571
3.1682,0.1261,0.4503,0.4503
3.1882,0.1261,0.4441,0.4441
3.2082,0.1461,0.4579,0.4579
3.2282,0.1461,0.4532,0.4532
3.2482,0.1661,0.4689,0.4689
3.2682,0.1661,0.4657,0.4657
3.2882,0.1861,0.4824,0.4824
3.3082,0.1861,0.4772,0.4772
3.3282,0.2061,0.4882,0.4882
3.3482,0.2061,0.4814,0.4814
3.3682,0.2261,0.4906,0.4906
3.3882,0.2261,0.4814,0.4814
3.4082,0.2461,0.4906,0.4906
3.4282,0.2661,0.4993,0.4993
3.4482,0.2661,0.4906,0.4906
3.4682,0.2861,0.4993,0.4993
3.4882,0.3061,0.5083,0.5083
3.5082,0.3261,0.5161,0.5161
3.5282,0.3461,0.5213,0.5213
3.5482,0.3661,0.5223,0.5223
3.5682,0.3661,0.5161,0.5161
3.5882,0.3861,0.5213,0.5213
3.6082,0.4061,0.5277,0.5277
3.6282,0.4261,0.5325,0.5325
3.6482,0.4461,0.5378,0.5378
3.6682,0.4661,0.5403,0.5403
3.6882,0.4861,0.5440,0.5440
3.6882,0.5061,0.5381,0.5381
3.7082,0.5261,0.5450,0.5450
3.7282,0.5461,0.5530,0.5530
3.7282,0.5661,0.5440,0.5440
3.7482,0.5861,0.5530,0.5530
3.7482,0.6061,0.5440,0.5440
3.7482,0.6261,0.5353,0.5353
3.7682,0.6461,0.5440,0.5440
3.7682,0.6661,0.5356,0.5356
3.7882,0.6861,0.5462,0.5462
3.7882,0.7061,0.5391,0.5391
3.8082,0.7261,0.5515,0.5515
3.8082,0.7461,0.5456,0.5456
